レビュー本文,カテゴリ,商品,価格,購入回数,評価
口コミを見て料理本を選びました。友人にも勧めたい。普通に使えます。,書籍,料理本,3100,1,高評価
Tシャツを家族用に買いました。とても使いやすいです。デザインが気に入っています。買ってよかった。5点。,衣料,Tシャツ,4800,4,高評価
チョコレートを購入。説明書どおりの性能。,食品,チョコレート,1100,6,普通
初めてパスタを試しました。説明と違う商品が届いた。,食品,パスタ,3200,1,低評価
初めて写真集を試しました。買ってよかった。梱包も丁寧で好印象。,書籍,写真集,1700,3,高評価
初めて洗剤を試しました。デザインが気に入っています。説明書が分かりにくい。星5つです。,日用品,洗剤,1900,6,低評価
セールでオリーブオイルを注文しました。二度と買いません。匂いが気になります。2点。,食品,オリーブオイル,2000,1,普通
初めて漫画を試しました。すぐに壊れました。総合的には不満。,書籍,漫画,1000,6,低評価
Tシャツを購入。思ったより大きめでした。特に不満はありません。可もなく不可もなく。また利用したいと思います。,衣料,Tシャツ,4800,1,普通
ドライヤーを家族用に買いました。想像より軽くて扱いやすい。星5つです。,家電,ドライヤー,38100,5,高評価
初めて小説を試しました。説明書が分かりにくい。すぐに壊れました。説明と違う商品が届いた。買ってよかった。星1つです。,書籍,小説,4000,4,低評価
初めてパスタを試しました。買ってよかった。,食品,パスタ,2400,4,高評価
口コミを見て参考書を選びました。とても使いやすいです。星4つです。,書籍,参考書,1600,5,高評価
初めて小説を試しました。他と比べていないので分かりません。まだ数回しか使っていません。4点。,書籍,小説,1100,2,普通
小説を購入。到着は予定どおりでした。色が写真と少し違いました。説明書どおりの性能。3点。,書籍,小説,1800,1,普通
初めて料理本を試しました。デザインが気に入っています。説明書が分かりにくい。総合的には満足。,書籍,料理本,900,3,高評価
参考書を購入。まだ数回しか使っていません。値段相応だと思います。思ったより大きめでした。以上、参考になれば。,書籍,参考書,2800,5,普通
パスタを購入。色が写真と少し違いました。値段相応だと思います。4点。,食品,パスタ,2700,2,普通
歯ブラシを家族用に買いました。他と比べていないので分かりません。まだ数回しか使っていません。可もなく不可もなく。2点。,日用品,歯ブラシ,700,6,普通
口コミを見てチョコレートを選びました。まだ数回しか使っていません。家族にも好評。総合的にはまあまあ。,食品,チョコレート,1000,5,高評価
初めて写真集を試しました。匂いが気になります。色が写真と少し違いました。以上、参考になれば。,書籍,写真集,1800,5,低評価
初めてドライヤーを試しました。期待外れでがっかり。1点。,家電,ドライヤー,39300,6,低評価
初めて歯ブラシを試しました。写真と全然違う。説明書が分かりにくい。総合的には不満。,日用品,歯ブラシ,2300,3,低評価
初めて洗剤を試しました。値段相応だと思います。以上、参考になれば。,日用品,洗剤,1300,6,普通
ビジネス書のレビューです。期待外れでがっかり。匂いが気になります。星1つです。,書籍,ビジネス書,2200,4,低評価
緑茶を購入。想像より軽くて扱いやすい。期待以上でした。梱包も丁寧で好印象。,食品,緑茶,3900,3,高評価
初めて歯ブラシを試しました。他と比べていないので分かりません。色が写真と少し違いました。総合的にはまあまあ。,日用品,歯ブラシ,2600,4,普通
電気ケトルを家族用に買いました。可もなく不可もなく。値段相応だと思います。色が写真と少し違いました。また利用したいと思います。,家電,電気ケトル,7000,2,普通
初めて炊飯器を試しました。到着は予定どおりでした。総合的にはまあまあ。,家電,炊飯器,26900,6,普通
緑茶を家族用に買いました。説明と違う商品が届いた。サイズが合わず返品しました。2点。,食品,緑茶,1300,1,低評価
オリーブオイルを購入。匂いが気になります。サイズが合わず返品しました。説明書が分かりにくい。1点。,食品,オリーブオイル,2100,1,低評価
オリーブオイルを家族用に買いました。思ったより大きめでした。値段の割に安っぽい。2点。,食品,オリーブオイル,3000,1,普通
ダウンジャケットのレビューです。買ってよかった。説明と違う商品が届いた。総合的には満足。,衣料,ダウンジャケット,15200,1,高評価
セールでレインコートを注文しました。説明と違う商品が届いた。匂いが気になります。星1つです。,衣料,レインコート,18200,3,低評価
イヤホンを家族用に買いました。音がうるさくて使えない。初期不良でした。星2つです。,家電,イヤホン,34200,1,低評価
レトルトカレーのレビューです。値段相応だと思います。音がうるさくて使えない。3点。,食品,レトルトカレー,3100,2,普通
初めてパスタを試しました。とても使いやすいです。リピート確定です。友人にも勧めたい。星5つです。,食品,パスタ,2000,3,高評価
口コミを見てリュックを選びました。他と比べていないので分かりません。普通に使えます。特に不満はありません。2点。,衣料,リュック,10000,4,普通
セールでドライヤーを注文しました。想像より軽くて扱いやすい。他と比べていないので分かりません。総合的には満足。,家電,ドライヤー,9900,5,高評価
初めてビジネス書を試しました。リピート確定です。品質が良く長持ちしそう。梱包も丁寧で好印象。総合的には満足。,書籍,ビジネス書,1400,5,高評価
洗剤のレビューです。梱包も丁寧で好印象。デザインが気に入っています。友人にも勧めたい。総合的には満足。,日用品,洗剤,1700,3,高評価
タオルを購入。想像より軽くて扱いやすい。また利用したいと思います。,日用品,タオル,2500,5,高評価
口コミを見て掃除機を選びました。期待以上でした。梱包も丁寧で好印象。コスパが最高。値段相応だと思います。,家電,掃除機,7400,2,高評価
漫画のレビューです。とても使いやすいです。以上、参考になれば。,書籍,漫画,1700,6,高評価
初めてイヤホンを試しました。期待外れでがっかり。星1つです。,家電,イヤホン,19400,3,低評価
マスクのレビューです。デザインが気に入っています。5点。,日用品,マスク,1200,1,高評価
口コミを見て歯ブラシを選びました。説明書が分かりにくい。サイズが合わず返品しました。デザインが気に入っています。以上、参考になれば。,日用品,歯ブラシ,2800,2,低評価
イヤホンを家族用に買いました。可もなく不可もなく。到着は予定どおりでした。値段相応だと思います。また利用したいと思います。,家電,イヤホン,31200,1,低評価
口コミを見てタオルを選びました。可もなく不可もなく。,日用品,タオル,2900,4,普通
セールで収納ボックスを注文しました。可もなく不可もなく。思ったより大きめでした。他と比べていないので分かりません。星3つです。,日用品,収納ボックス,2000,2,普通
セールでドライヤーを注文しました。毎日使っています。品質が良く長持ちしそう。リピート確定です。総合的には満足。,家電,ドライヤー,6800,3,高評価
セールで洗剤を注文しました。音がうるさくて使えない。説明と違う商品が届いた。写真と全然違う。以上、参考になれば。,日用品,洗剤,1300,5,低評価
口コミを見てビジネス書を選びました。説明書どおりの性能。3点。,書籍,ビジネス書,1800,3,普通
レトルトカレーを家族用に買いました。値段の割に安っぽい。説明書が分かりにくい。サポートの対応が悪かった。値段相応だと思います。総合的には不満。,食品,レトルトカレー,3900,6,低評価
初めて空気清浄機を試しました。二度と買いません。匂いが気になります。以上、参考になれば。,家電,空気清浄機,26500,2,低評価
緑茶のレビューです。他と比べていないので分かりません。特に不満はありません。毎日使っています。また利用したいと思います。,食品,緑茶,3400,5,普通
セールで洗剤を注文しました。写真と全然違う。まだ数回しか使っていません。,日用品,洗剤,1200,5,低評価
ドライヤーのレビューです。二度と買いません。説明書が分かりにくい。以上、参考になれば。,家電,ドライヤー,21100,2,低評価
口コミを見てタオルを選びました。説明書どおりの性能。まだ数回しか使っていません。色が写真と少し違いました。,日用品,タオル,500,5,普通
セールで参考書を注文しました。値段の割に安っぽい。匂いが気になります。とても使いやすいです。総合的には不満。,書籍,参考書,1600,5,低評価
セールでレトルトカレーを注文しました。期待外れでがっかり。二度と買いません。買ってよかった。以上、参考になれば。,食品,レトルトカレー,3200,4,低評価
タオルを購入。梱包も丁寧で好印象。毎日使っています。5点。,日用品,タオル,2000,4,高評価
口コミを見て漫画を選びました。想像より軽くて扱いやすい。4点。,書籍,漫画,3900,5,高評価
セールでTシャツを注文しました。写真と全然違う。サポートの対応が悪かった。家族にも好評。1点。,衣料,Tシャツ,3300,2,低評価
緑茶を家族用に買いました。特に不満はありません。普通に使えます。想像より軽くて扱いやすい。星2つです。,食品,緑茶,3600,4,普通
初めて炊飯器を試しました。梱包も丁寧で好印象。4点。,家電,炊飯器,22900,3,高評価
初めて手袋を試しました。想像より軽くて扱いやすい。梱包も丁寧で好印象。星5つです。,衣料,手袋,15500,5,高評価
参考書を購入。二度と買いません。説明書が分かりにくい。1点。,書籍,参考書,1300,2,低評価
初めて炊飯器を試しました。家族にも好評。梱包も丁寧で好印象。期待以上でした。また利用したいと思います。,家電,炊飯器,12500,4,高評価
口コミを見て空気清浄機を選びました。値段相応だと思います。到着は予定どおりでした。また利用したいと思います。,家電,空気清浄機,13300,5,普通
初めて漫画を試しました。リピート確定です。デザインが気に入っています。また利用したいと思います。,書籍,漫画,3900,2,高評価
収納ボックスを家族用に買いました。期待外れでがっかり。音がうるさくて使えない。星1つです。,日用品,収納ボックス,400,3,低評価
パスタのレビューです。想像より軽くて扱いやすい。買ってよかった。星4つです。,食品,パスタ,1000,6,高評価
セールで小説を注文しました。サポートの対応が悪かった。期待外れでがっかり。二度と買いません。とても使いやすいです。また利用したいと思います。,書籍,小説,2500,4,低評価
口コミを見て歯ブラシを選びました。友人にも勧めたい。コスパが最高。毎日使っています。,日用品,歯ブラシ,2000,1,高評価
セールで炊飯器を注文しました。期待以上でした。とても使いやすいです。説明と違う商品が届いた。また利用したいと思います。,家電,炊飯器,8700,1,高評価
緑茶のレビューです。普通に使えます。買ってよかった。星3つです。,食品,緑茶,900,3,普通
料理本を家族用に買いました。他と比べていないので分かりません。総合的にはまあまあ。,書籍,料理本,2500,3,普通
電気ケトルを家族用に買いました。値段相応だと思います。色が写真と少し違いました。普通に使えます。4点。,家電,電気ケトル,14800,3,普通
ハンドソープのレビューです。説明書が分かりにくい。説明と違う商品が届いた。サポートの対応が悪かった。以上、参考になれば。,日用品,ハンドソープ,800,6,低評価
電気ケトルを家族用に買いました。サイズが合わず返品しました。デザインが気に入っています。,家電,電気ケトル,29900,3,低評価
セールでダウンジャケットを注文しました。サイズが合わず返品しました。説明と違う商品が届いた。サポートの対応が悪かった。また利用したいと思います。,衣料,ダウンジャケット,3500,4,低評価
初めてコーヒー豆を試しました。家族にも好評。コスパが最高。リピート確定です。,食品,コーヒー豆,2700,6,高評価
口コミを見て歯ブラシを選びました。想像より軽くて扱いやすい。総合的には満足。,日用品,歯ブラシ,2600,6,高評価
初めてタオルを試しました。毎日使っています。デザインが気に入っています。星4つです。,日用品,タオル,400,3,高評価
レトルトカレーのレビューです。サポートの対応が悪かった。初期不良でした。総合的には不満。,食品,レトルトカレー,2400,6,低評価
炊飯器を購入。到着は予定どおりでした。色が写真と少し違いました。値段相応だと思います。星4つです。,家電,炊飯器,27400,2,普通
写真集を購入。可もなく不可もなく。到着は予定どおりでした。3点。,書籍,写真集,2800,3,普通
スニーカーのレビューです。サポートの対応が悪かった。,衣料,スニーカー,10400,6,低評価
初めて空気清浄機を試しました。買ってよかった。友人にも勧めたい。星4つです。,家電,空気清浄機,9100,4,高評価
口コミを見てパスタを選びました。買ってよかった。家族にも好評。,食品,パスタ,1600,5,高評価
初めて手袋を試しました。サイズが合わず返品しました。写真と全然違う。音がうるさくて使えない。以上、参考になれば。,衣料,手袋,15500,6,低評価
口コミを見てビジネス書を選びました。思ったより大きめでした。特に不満はありません。色が写真と少し違いました。総合的にはまあまあ。,書籍,ビジネス書,2100,3,普通
ダウンジャケットのレビューです。サポートの対応が悪かった。写真と全然違う。星1つです。,衣料,ダウンジャケット,17300,3,低評価
セールで手袋を注文しました。想像より軽くて扱いやすい。品質が良く長持ちしそう。期待外れでがっかり。総合的には満足。,衣料,手袋,5300,3,高評価
口コミを見てドライヤーを選びました。毎日使っています。また利用したいと思います。,家電,ドライヤー,10400,3,高評価
口コミを見て手袋を選びました。初期不良でした。2点。,衣料,手袋,3800,6,低評価
炊飯器を購入。期待以上でした。4点。,家電,炊飯器,37000,1,高評価
セールで料理本を注文しました。写真と全然違う。すぐに壊れました。想像より軽くて扱いやすい。,書籍,料理本,1000,6,低評価
初めてタオルを試しました。説明書が分かりにくい。すぐに壊れました。音がうるさくて使えない。星2つです。,日用品,タオル,1900,6,低評価
初めて参考書を試しました。すぐに壊れました。音がうるさくて使えない。星1つです。,書籍,参考書,3700,5,低評価
コーヒー豆を購入。値段相応だと思います。他と比べていないので分かりません。思ったより大きめでした。説明書が分かりにくい。以上、参考になれば。,食品,コーヒー豆,3000,5,普通
セールで写真集を注文しました。梱包も丁寧で好印象。,書籍,写真集,3300,1,高評価
洗剤のレビューです。品質が良く長持ちしそう。想像より軽くて扱いやすい。とても使いやすいです。以上、参考になれば。,日用品,洗剤,1300,2,高評価
初めてチョコレートを試しました。想像より軽くて扱いやすい。コスパが最高。星5つです。,食品,チョコレート,1200,5,高評価
初めて料理本を試しました。色が写真と少し違いました。家族にも好評。,書籍,料理本,1300,5,普通
ビジネス書を購入。音がうるさくて使えない。以上、参考になれば。,書籍,ビジネス書,2700,4,低評価
口コミを見て空気清浄機を選びました。コスパが最高。とても使いやすいです。星5つです。,家電,空気清浄機,22500,1,高評価
初めて小説を試しました。匂いが気になります。説明と違う商品が届いた。とても使いやすいです。星2つです。,書籍,小説,2800,2,低評価
セールで掃除機を注文しました。梱包も丁寧で好印象。想像より軽くて扱いやすい。4点。,家電,掃除機,20000,5,高評価
タオルを家族用に買いました。匂いが気になります。サポートの対応が悪かった。星1つです。,日用品,タオル,900,3,低評価
歯ブラシのレビューです。サポートの対応が悪かった。総合的には不満。,日用品,歯ブラシ,1300,5,低評価
セールでオリーブオイルを注文しました。特に不満はありません。値段相応だと思います。普通に使えます。星3つです。,食品,オリーブオイル,2100,3,普通
空気清浄機のレビューです。説明と違う商品が届いた。値段の割に安っぽい。二度と買いません。また利用したいと思います。,家電,空気清浄機,20100,3,低評価
口コミを見てTシャツを選びました。他と比べていないので分かりません。友人にも勧めたい。以上、参考になれば。,衣料,Tシャツ,3800,3,普通
セールで写真集を注文しました。家族にも好評。匂いが気になります。総合的には満足。,書籍,写真集,1300,3,高評価
炊飯器を購入。特に不満はありません。また利用したいと思います。,家電,炊飯器,15400,2,普通
セールでイヤホンを注文しました。すぐに壊れました。期待外れでがっかり。,家電,イヤホン,26800,6,低評価
掃除機を購入。期待外れでがっかり。,家電,掃除機,15900,3,低評価
洗剤を購入。とても使いやすいです。想像より軽くて扱いやすい。以上、参考になれば。,日用品,洗剤,700,1,高評価
初めて空気清浄機を試しました。リピート確定です。品質が良く長持ちしそう。,家電,空気清浄機,25100,3,高評価
口コミを見てオリーブオイルを選びました。リピート確定です。コスパが最高。品質が良く長持ちしそう。4点。,食品,オリーブオイル,1300,2,高評価
初めて写真集を試しました。友人にも勧めたい。星5つです。,書籍,写真集,2500,2,高評価
参考書のレビューです。デザインが気に入っています。以上、参考になれば。,書籍,参考書,1700,4,高評価
炊飯器のレビューです。サイズが合わず返品しました。二度と買いません。1点。,家電,炊飯器,35400,3,低評価
写真集のレビューです。二度と買いません。サイズが合わず返品しました。,書籍,写真集,2600,5,低評価
口コミを見てダウンジャケットを選びました。想像より軽くて扱いやすい。他と比べていないので分かりません。以上、参考になれば。,衣料,ダウンジャケット,17000,1,高評価
セールでパスタを注文しました。コスパが最高。毎日使っています。買ってよかった。以上、参考になれば。,食品,パスタ,2200,6,高評価
レインコートのレビューです。匂いが気になります。説明書が分かりにくい。星2つです。,衣料,レインコート,17000,3,低評価
セールで炊飯器を注文しました。説明書どおりの性能。二度と買いません。星4つです。,家電,炊飯器,32500,2,普通
タオルを購入。デザインが気に入っています。リピート確定です。梱包も丁寧で好印象。また利用したいと思います。,日用品,タオル,700,4,高評価
電気ケトルを家族用に買いました。思ったより大きめでした。4点。,家電,電気ケトル,38700,3,低評価
セールで収納ボックスを注文しました。とても使いやすいです。梱包も丁寧で好印象。リピート確定です。5点。,日用品,収納ボックス,2100,6,高評価
口コミを見てチョコレートを選びました。家族にも好評。5点。,食品,チョコレート,2900,3,高評価
炊飯器を購入。値段の割に安っぽい。サイズが合わず返品しました。特に不満はありません。1点。,家電,炊飯器,32000,4,低評価
口コミを見て歯ブラシを選びました。思ったより大きめでした。説明書どおりの性能。まだ数回しか使っていません。,日用品,歯ブラシ,1400,3,普通
ビジネス書を購入。音がうるさくて使えない。匂いが気になります。二度と買いません。2点。,書籍,ビジネス書,3900,3,低評価
