車両説明,メーカー,年式,走行距離_万km,排気量_cc,色,車検,価格_万円
2022年式 マツダ CX-5 S 走行2.1万km LEDヘッドライト ETC,マツダ,2022,2.1,660,パール,あり,266.3
2023年式 トヨタ カローラ S 走行0.1万km 新品タイヤ交換済 鍵1本のみ バッテリー要交換,トヨタ,2023,0.1,1000,白,なし,152.8
2018年式 スズキ ジムニー Z 走行5.1万km,スズキ,2018,5.1,1800,黒,あり,76.5
2016年式 トヨタ ハリアー Z 走行6.2万km 両側パワースライドドア 純正ナビ,トヨタ,2016,6.2,1800,白,あり,143.1
2019年式 マツダ ロードスター G 走行6.0万km 純正ナビ LEDヘッドライト 禁煙車,マツダ,2019,6.0,1000,黒,あり,146.5
2017年式 ホンダ ステップワゴン ターボ 走行2.9万km 純正ナビ,ホンダ,2017,2.9,1000,黒,なし,128.3
2014年式 日産 ノート ターボ 走行9.9万km LEDヘッドライト 本革シート 両側パワースライドドア,日産,2014,9.9,1800,パール,なし,52.1
2016年式 日産 セレナ ターボ 走行6.1万km 本革シート ディーラー整備記録簿あり バッテリー要交換 内装に汚れ エアコン効き弱い,日産,2016,6.1,1500,白,なし,97.1
2011年式 トヨタ ハリアー 特別仕様車 走行12.4万km 純正ナビ 禁煙車 本革シート 新品タイヤ交換済 車検切れ タイヤ溝少なめ,トヨタ,2011,12.4,1000,黒,なし,62.4
2013年式 スズキ スイフト 4WD 走行8.9万km 新品タイヤ交換済 純正ナビ サンルーフ 禁煙車 ナビ地図データ古い,スズキ,2013,8.9,1500,青,あり,38.9
2022年式 ホンダ ヴェゼル ハイブリッド 走行1.9万km,ホンダ,2022,1.9,1200,シルバー,あり,212.3
2015年式 トヨタ アクア Z 走行5.7万km 両側パワースライドドア,トヨタ,2015,5.7,660,白,あり,52.7
2011年式 マツダ ロードスター 特別仕様車 走行10.7万km サンルーフ 純正ナビ ドライブレコーダー 本革シート,マツダ,2011,10.7,660,シルバー,あり,60.4
2012年式 日産 リーフ ハイブリッド 走行9.5万km バックカメラ,日産,2012,9.5,0,白,なし,65.0
2023年式 マツダ CX-5 特別仕様車 走行1.8万km LEDヘッドライト ETC サンルーフ タイヤ溝少なめ,マツダ,2023,1.8,660,青,なし,320.1
2018年式 スバル インプレッサ 特別仕様車 走行6.9万km 本革シート ETC 禁煙車,スバル,2018,6.9,2000,白,あり,120.7
2011年式 マツダ CX-5 S 走行13.1万km サンルーフ バックカメラ,マツダ,2011,13.1,1500,シルバー,あり,50.2
2014年式 スズキ スイフト Z 走行7.9万km 両側パワースライドドア フルセグTV 本革シート ワンオーナー LEDヘッドライト,スズキ,2014,7.9,1200,黒,あり,46.6
2021年式 トヨタ アクア G 走行1.0万km 純正ナビ ドライブレコーダー ディーラー整備記録簿あり 新品タイヤ交換済 タイヤ溝少なめ,トヨタ,2021,1.0,1800,赤,あり,137.5
2022年式 マツダ デミオ ターボ 走行0.1万km フルセグTV LEDヘッドライト 衝突被害軽減ブレーキ 本革シート 禁煙車,マツダ,2022,0.1,1000,赤,あり,178.1
2023年式 スズキ ジムニー 特別仕様車 走行3.1万km ETC 禁煙車 修復歴あり 鍵1本のみ,スズキ,2023,3.1,2500,赤,あり,91.9
2013年式 スバル インプレッサ G 走行10.7万km 車検切れ,スバル,2013,10.7,1500,赤,あり,39.1
2013年式 日産 エクストレイル 4WD 走行13.1万km ETC,日産,2013,13.1,660,パール,あり,59.1
2009年式 マツダ デミオ S 走行10.0万km 新品タイヤ交換済 ナビ地図データ古い 修復歴あり,マツダ,2009,10.0,1800,シルバー,あり,15.0
2019年式 マツダ ロードスター S 走行1.9万km 衝突被害軽減ブレーキ 両側パワースライドドア 禁煙車 本革シート 修復歴あり,マツダ,2019,1.9,2500,青,なし,124.4
2021年式 マツダ デミオ ハイブリッド 走行1.5万km フルセグTV ワンオーナー ディーラー整備記録簿あり サンルーフ 鍵1本のみ タイヤ溝少なめ エアコン効き弱い,マツダ,2021,1.5,1500,青,なし,99.5
2011年式 スバル フォレスター 4WD 走行12.2万km 本革シート 小キズ多数,スバル,2011,12.2,1200,赤,あり,47.6
2009年式 ホンダ フィット Z 走行10.7万km ディーラー整備記録簿あり 本革シート,ホンダ,2009,10.7,2000,黒,なし,22.9
2021年式 スズキ ジムニー S 走行2.2万km サンルーフ バッテリー要交換 タイヤ溝少なめ,スズキ,2021,2.2,2500,青,なし,122.3
2017年式 日産 リーフ 特別仕様車 走行8.1万km ディーラー整備記録簿あり バックカメラ サンルーフ ワンオーナー,日産,2017,8.1,0,パール,あり,161.1
2015年式 スバル フォレスター Z 走行6.9万km 衝突被害軽減ブレーキ 両側パワースライドドア 鍵1本のみ,スバル,2015,6.9,2500,白,あり,100.0
2017年式 ホンダ ヴェゼル ハイブリッド 走行6.2万km LEDヘッドライト 純正ナビ ディーラー整備記録簿あり フルセグTV タイヤ溝少なめ,ホンダ,2017,6.2,2500,黒,あり,124.4
2015年式 スズキ ジムニー Z 走行8.7万km 両側パワースライドドア ワンオーナー エアコン効き弱い,スズキ,2015,8.7,1500,パール,あり,55.1
2015年式 トヨタ アクア 特別仕様車 走行6.7万km 禁煙車 ETC フルセグTV 新品タイヤ交換済 両側パワースライドドア 修復歴あり,トヨタ,2015,6.7,660,赤,あり,42.2
2013年式 ホンダ N-BOX G 走行11.1万km サンルーフ ドライブレコーダー ディーラー整備記録簿あり 衝突被害軽減ブレーキ ナビ地図データ古い エアコン効き弱い,ホンダ,2013,11.1,1500,白,あり,32.6
2017年式 マツダ デミオ 4WD 走行11.3万km,マツダ,2017,11.3,660,赤,あり,50.8
2015年式 日産 ノート X 走行11.3万km ETC ディーラー整備記録簿あり 本革シート サンルーフ 修復歴あり,日産,2015,11.3,2500,赤,なし,38.8
2021年式 トヨタ ハリアー 特別仕様車 走行2.2万km 純正ナビ バッテリー要交換 車検切れ,トヨタ,2021,2.2,1800,青,なし,242.6
2014年式 ホンダ ヴェゼル ハイブリッド 走行6.1万km ETC 新品タイヤ交換済 ディーラー整備記録簿あり ドライブレコーダー,ホンダ,2014,6.1,2500,青,あり,93.2
2018年式 スバル フォレスター X 走行5.7万km 車検切れ エアコン効き弱い タイヤ溝少なめ,スバル,2018,5.7,1200,黒,あり,94.0
2010年式 トヨタ カローラ S 走行14.4万km フルセグTV ディーラー整備記録簿あり 純正ナビ LEDヘッドライト,トヨタ,2010,14.4,1800,シルバー,あり,30.7
2018年式 マツダ ロードスター S 走行3.8万km ドライブレコーダー バックカメラ サンルーフ 純正ナビ,マツダ,2018,3.8,1200,シルバー,なし,141.4
2009年式 マツダ ロードスター G 走行12.9万km 衝突被害軽減ブレーキ 新品タイヤ交換済 両側パワースライドドア 小キズ多数,マツダ,2009,12.9,660,赤,あり,31.3
2016年式 ホンダ N-BOX 4WD 走行7.0万km,ホンダ,2016,7.0,1800,白,なし,51.9
2018年式 日産 ノート ターボ 走行6.9万km 純正ナビ LEDヘッドライト ディーラー整備記録簿あり 本革シート フルセグTV,日産,2018,6.9,2500,白,あり,99.2
2021年式 ホンダ ステップワゴン X 走行2.2万km LEDヘッドライト ワンオーナー ディーラー整備記録簿あり サンルーフ 鍵1本のみ エアコン効き弱い,ホンダ,2021,2.2,1200,パール,あり,243.2
2016年式 ホンダ N-BOX 特別仕様車 走行7.0万km 内装に汚れ,ホンダ,2016,7.0,2500,白,あり,44.7
2012年式 ホンダ ステップワゴン ターボ 走行11.0万km,ホンダ,2012,11.0,1800,シルバー,あり,57.9
2019年式 スバル フォレスター Z 走行4.2万km,スバル,2019,4.2,1800,黒,なし,164.9
2016年式 ホンダ フィット ターボ 走行5.8万km 純正ナビ ディーラー整備記録簿あり 衝突被害軽減ブレーキ,ホンダ,2016,5.8,1000,青,あり,60.5
2012年式 マツダ ロードスター 4WD 走行10.0万km 純正ナビ LEDヘッドライト,マツダ,2012,10.0,660,白,なし,60.6
2022年式 トヨタ カローラ Z 走行2.5万km ドライブレコーダー 純正ナビ 衝突被害軽減ブレーキ バックカメラ 両側パワースライドドア エアコン効き弱い ナビ地図データ古い,トヨタ,2022,2.5,1200,白,あり,157.0
2010年式 トヨタ プリウス ハイブリッド 走行12.3万km 純正ナビ ディーラー整備記録簿あり 新品タイヤ交換済 ワンオーナー 内装に汚れ,トヨタ,2010,12.3,660,パール,あり,36.5
2017年式 スバル インプレッサ ターボ 走行6.0万km 新品タイヤ交換済 内装に汚れ エアコン効き弱い,スバル,2017,6.0,1800,白,なし,67.1
2023年式 ホンダ フィット ハイブリッド 走行0.1万km バックカメラ ETC LEDヘッドライト,ホンダ,2023,0.1,660,パール,あり,166.1
2012年式 ホンダ フィット X 走行9.5万km ワンオーナー 修復歴あり,ホンダ,2012,9.5,1200,黒,あり,18.5
2015年式 日産 セレナ ハイブリッド 走行7.5万km 衝突被害軽減ブレーキ ドライブレコーダー ETC,日産,2015,7.5,2000,パール,あり,99.4
2013年式 トヨタ プリウス ハイブリッド 走行9.2万km 禁煙車 バックカメラ 新品タイヤ交換済 ディーラー整備記録簿あり ドライブレコーダー,トヨタ,2013,9.2,1500,白,あり,57.8
2009年式 トヨタ アクア 特別仕様車 走行13.0万km 内装に汚れ,トヨタ,2009,13.0,660,青,あり,17.3
2021年式 トヨタ アルファード Z 走行3.7万km サンルーフ 純正ナビ 新品タイヤ交換済,トヨタ,2021,3.7,660,パール,あり,353.6
2014年式 ホンダ ヴェゼル 4WD 走行8.9万km ETC 本革シート バッテリー要交換,ホンダ,2014,8.9,2000,黒,あり,69.6
2017年式 日産 リーフ Z 走行8.5万km サンルーフ バッテリー要交換 小キズ多数,日産,2017,8.5,0,パール,なし,98.0
2015年式 ホンダ フィット ターボ 走行5.7万km 純正ナビ ワンオーナー 修復歴あり,ホンダ,2015,5.7,1800,赤,あり,34.5
2018年式 ホンダ フィット X 走行5.7万km,ホンダ,2018,5.7,1200,青,なし,72.9
2013年式 スズキ スイフト X 走行8.6万km サンルーフ バックカメラ 禁煙車 ドライブレコーダー ディーラー整備記録簿あり,スズキ,2013,8.6,1000,パール,なし,40.3
2010年式 スバル フォレスター ハイブリッド 走行10.9万km ディーラー整備記録簿あり 修復歴あり,スバル,2010,10.9,1500,黒,あり,29.6
2010年式 トヨタ アクア ターボ 走行15.9万km LEDヘッドライト ワンオーナー バックカメラ 衝突被害軽減ブレーキ,トヨタ,2010,15.9,1000,赤,なし,24.6
2016年式 マツダ デミオ 4WD 走行10.3万km サンルーフ 禁煙車 両側パワースライドドア フルセグTV 新品タイヤ交換済,マツダ,2016,10.3,2500,赤,なし,65.1
2014年式 マツダ CX-5 X 走行10.0万km サンルーフ 衝突被害軽減ブレーキ LEDヘッドライト ETC,マツダ,2014,10.0,2000,黒,あり,84.2
2009年式 マツダ CX-5 Z 走行13.5万km バックカメラ 両側パワースライドドア フルセグTV タイヤ溝少なめ,マツダ,2009,13.5,1800,シルバー,あり,41.0
2021年式 スズキ ジムニー 4WD 走行2.6万km,スズキ,2021,2.6,1800,パール,あり,134.6
2021年式 スバル レヴォーグ X 走行3.5万km,スバル,2021,3.5,1800,黒,あり,249.9
2019年式 トヨタ プリウス 4WD 走行2.1万km ドライブレコーダー バックカメラ サンルーフ,トヨタ,2019,2.1,1800,白,あり,136.2
2023年式 トヨタ アルファード ハイブリッド 走行0.1万km 禁煙車 純正ナビ フルセグTV 内装に汚れ 小キズ多数 修復歴あり,トヨタ,2023,0.1,1800,シルバー,あり,221.1
2020年式 トヨタ アクア X 走行1.7万km 両側パワースライドドア バッテリー要交換,トヨタ,2020,1.7,1200,白,あり,88.8
2012年式 日産 セレナ X 走行7.7万km 両側パワースライドドア ドライブレコーダー 新品タイヤ交換済 LEDヘッドライト ワンオーナー,日産,2012,7.7,1200,青,あり,69.8
2015年式 日産 セレナ ターボ 走行10.3万km ETC フルセグTV エアコン効き弱い,日産,2015,10.3,1200,シルバー,なし,59.6
2020年式 スバル レヴォーグ ハイブリッド 走行3.5万km ETC 禁煙車 内装に汚れ,スバル,2020,3.5,1800,青,あり,192.7
2016年式 トヨタ アクア ハイブリッド 走行9.6万km ワンオーナー 純正ナビ フルセグTV ETC ドライブレコーダー,トヨタ,2016,9.6,1500,シルバー,なし,59.7
2021年式 ホンダ N-BOX ターボ 走行3.1万km フルセグTV LEDヘッドライト ワンオーナー 衝突被害軽減ブレーキ ドライブレコーダー,ホンダ,2021,3.1,1500,青,あり,130.1
2023年式 スズキ ハスラー Z 走行3.1万km 純正ナビ バックカメラ エアコン効き弱い,スズキ,2023,3.1,2000,青,あり,108.0
2017年式 スバル レヴォーグ ハイブリッド 走行4.1万km バックカメラ サンルーフ 本革シート LEDヘッドライト ドライブレコーダー 鍵1本のみ,スバル,2017,4.1,2500,青,あり,173.1
2022年式 スバル フォレスター 4WD 走行2.5万km ワンオーナー サンルーフ,スバル,2022,2.5,1200,パール,あり,279.8
2018年式 スズキ ハスラー S 走行4.6万km タイヤ溝少なめ,スズキ,2018,4.6,660,パール,あり,55.7
2017年式 トヨタ ハリアー ターボ 走行7.3万km バックカメラ ETC 本革シート 禁煙車 サンルーフ,トヨタ,2017,7.3,1200,赤,なし,192.9
2015年式 日産 セレナ X 走行6.2万km バックカメラ ドライブレコーダー LEDヘッドライト フルセグTV,日産,2015,6.2,1200,赤,なし,78.6
2017年式 スズキ ハスラー 4WD 走行7.9万km 両側パワースライドドア ETC,スズキ,2017,7.9,1000,黒,あり,57.2
2020年式 スズキ ジムニー X 走行4.1万km バックカメラ サンルーフ 新品タイヤ交換済 フルセグTV 本革シート,スズキ,2020,4.1,2500,赤,なし,143.0
2013年式 スバル フォレスター Z 走行9.6万km 本革シート 両側パワースライドドア 新品タイヤ交換済 バッテリー要交換,スバル,2013,9.6,1200,パール,あり,82.3
2018年式 トヨタ ハリアー G 走行7.4万km ワンオーナー ディーラー整備記録簿あり 純正ナビ フルセグTV サンルーフ,トヨタ,2018,7.4,1000,シルバー,あり,218.0
2010年式 トヨタ ハリアー 4WD 走行13.3万km バックカメラ 両側パワースライドドア ETC バッテリー要交換,トヨタ,2010,13.3,2000,赤,あり,51.4
2017年式 トヨタ アクア X 走行3.4万km 小キズ多数 修復歴あり,トヨタ,2017,3.4,2000,パール,あり,28.6
2023年式 トヨタ アクア Z 走行0.1万km バックカメラ 本革シート,トヨタ,2023,0.1,1000,黒,あり,179.8
2020年式 スバル フォレスター Z 走行1.5万km サンルーフ フルセグTV 衝突被害軽減ブレーキ 新品タイヤ交換済 バックカメラ,スバル,2020,1.5,660,白,なし,235.4
2010年式 トヨタ ハリアー G 走行15.8万km ドライブレコーダー 禁煙車 バックカメラ エアコン効き弱い,トヨタ,2010,15.8,1200,パール,なし,46.4
2009年式 スバル レヴォーグ S 走行9.1万km ドライブレコーダー 新品タイヤ交換済 ナビ地図データ古い,スバル,2009,9.1,1200,黒,あり,44.1
2013年式 スバル インプレッサ Z 走行9.6万km 新品タイヤ交換済 ディーラー整備記録簿あり 本革シート ETC,スバル,2013,9.6,1500,黒,あり,54.4
2015年式 スバル レヴォーグ Z 走行7.2万km ディーラー整備記録簿あり 禁煙車 ETC 純正ナビ,スバル,2015,7.2,660,赤,あり,107.9
2009年式 トヨタ ハリアー ハイブリッド 走行15.4万km バックカメラ LEDヘッドライト,トヨタ,2009,15.4,1000,青,あり,45.8
2017年式 マツダ ロードスター 4WD 走行6.1万km ワンオーナー フルセグTV 衝突被害軽減ブレーキ 禁煙車 新品タイヤ交換済 タイヤ溝少なめ,マツダ,2017,6.1,2000,青,あり,139.6
2019年式 スバル フォレスター ハイブリッド 走行5.7万km サンルーフ,スバル,2019,5.7,1800,赤,なし,165.4
2021年式 ホンダ N-BOX S 走行2.9万km エアコン効き弱い バッテリー要交換,ホンダ,2021,2.9,660,黒,あり,84.0
2017年式 スバル レヴォーグ ターボ 走行7.7万km ワンオーナー ディーラー整備記録簿あり ドライブレコーダー,スバル,2017,7.7,2000,黒,なし,163.2
2022年式 ホンダ フィット X 走行0.2万km ディーラー整備記録簿あり 本革シート,ホンダ,2022,0.2,1200,パール,なし,151.5
2010年式 スズキ スイフト Z 走行11.8万km,スズキ,2010,11.8,1000,赤,なし,17.5
2021年式 トヨタ アクア ターボ 走行3.2万km 新品タイヤ交換済 フルセグTV LEDヘッドライト タイヤ溝少なめ,トヨタ,2021,3.2,1800,赤,なし,117.1
2020年式 マツダ デミオ 4WD 走行6.0万km,マツダ,2020,6.0,2500,白,あり,91.7
2014年式 トヨタ アクア ハイブリッド 走行9.8万km 衝突被害軽減ブレーキ 車検切れ バッテリー要交換,トヨタ,2014,9.8,2000,赤,あり,39.2
2011年式 スバル レヴォーグ S 走行10.2万km バックカメラ 純正ナビ 衝突被害軽減ブレーキ フルセグTV ディーラー整備記録簿あり 鍵1本のみ,スバル,2011,10.2,2500,黒,なし,64.3
2022年式 トヨタ プリウス G 走行0.1万km ディーラー整備記録簿あり 本革シート フルセグTV 新品タイヤ交換済 サンルーフ バッテリー要交換,トヨタ,2022,0.1,1200,白,あり,229.6
2012年式 スズキ ジムニー Z 走行12.3万km サンルーフ 新品タイヤ交換済 両側パワースライドドア ナビ地図データ古い,スズキ,2012,12.3,1800,パール,あり,37.6
2012年式 スズキ ハスラー X 走行9.4万km,スズキ,2012,9.4,1800,黒,あり,23.9
2022年式 スズキ スイフト 4WD 走行1.4万km 禁煙車 本革シート 純正ナビ ドライブレコーダー 車検切れ,スズキ,2022,1.4,1000,黒,あり,138.0
2015年式 日産 リーフ 特別仕様車 走行9.6万km エアコン効き弱い タイヤ溝少なめ,日産,2015,9.6,0,シルバー,あり,71.6
2014年式 スズキ ジムニー X 走行8.2万km 内装に汚れ,スズキ,2014,8.2,1500,パール,なし,47.4
2023年式 スバル フォレスター 4WD 走行2.5万km 新品タイヤ交換済 ドライブレコーダー ETC 衝突被害軽減ブレーキ タイヤ溝少なめ,スバル,2023,2.5,2000,パール,あり,313.6
2012年式 スズキ ジムニー Z 走行10.6万km フルセグTV 純正ナビ 衝突被害軽減ブレーキ,スズキ,2012,10.6,2000,黒,あり,39.7
2021年式 スズキ ハスラー ターボ 走行4.4万km 両側パワースライドドア 本革シート LEDヘッドライト ワンオーナー,スズキ,2021,4.4,1000,青,なし,127.8
2020年式 マツダ ロードスター 4WD 走行6.7万km 新品タイヤ交換済 フルセグTV ワンオーナー 衝突被害軽減ブレーキ ドライブレコーダー,マツダ,2020,6.7,1000,シルバー,あり,185.3
2023年式 日産 セレナ 4WD 走行0.1万km 新品タイヤ交換済 サンルーフ,日産,2023,0.1,1500,赤,あり,323.1
2023年式 スズキ スイフト ハイブリッド 走行0.1万km ディーラー整備記録簿あり 禁煙車 バックカメラ 両側パワースライドドア サンルーフ 車検切れ,スズキ,2023,0.1,1000,白,あり,164.4
2023年式 スバル フォレスター ターボ 走行1.8万km サンルーフ 禁煙車 ドライブレコーダー ナビ地図データ古い,スバル,2023,1.8,1800,パール,あり,364.9
2012年式 マツダ ロードスター ハイブリッド 走行12.6万km エアコン効き弱い,マツダ,2012,12.6,2500,シルバー,あり,45.0
2009年式 日産 エクストレイル G 走行15.1万km LEDヘッドライト バックカメラ 禁煙車,日産,2009,15.1,660,黒,あり,37.8
2015年式 ホンダ N-BOX Z 走行9.6万km LEDヘッドライト 両側パワースライドドア バックカメラ 小キズ多数,ホンダ,2015,9.6,660,赤,なし,38.7
2009年式 スズキ スイフト 4WD 走行13.0万km 車検切れ,スズキ,2009,13.0,2500,赤,あり,15.8
2020年式 日産 リーフ ハイブリッド 走行6.2万km ワンオーナー 内装に汚れ,日産,2020,6.2,0,赤,あり,182.1
2009年式 日産 セレナ ハイブリッド 走行14.6万km ETC 衝突被害軽減ブレーキ 新品タイヤ交換済 サンルーフ,日産,2009,14.6,2500,青,あり,41.3
2010年式 トヨタ ハリアー 特別仕様車 走行14.0万km 禁煙車 ドライブレコーダー,トヨタ,2010,14.0,1800,赤,あり,47.5
2012年式 トヨタ アクア Z 走行12.6万km サンルーフ 本革シート,トヨタ,2012,12.6,1500,赤,あり,32.8
2010年式 トヨタ プリウス 特別仕様車 走行10.6万km ディーラー整備記録簿あり ワンオーナー サンルーフ 本革シート,トヨタ,2010,10.6,1500,黒,あり,49.0
2017年式 スバル インプレッサ S 走行7.7万km,スバル,2017,7.7,1000,パール,あり,77.3
2011年式 スバル フォレスター S 走行11.6万km バックカメラ ディーラー整備記録簿あり フルセグTV 衝突被害軽減ブレーキ,スバル,2011,11.6,1000,パール,なし,56.5
2022年式 スズキ ジムニー 4WD 走行0.1万km 両側パワースライドドア 新品タイヤ交換済 ETC 本革シート 車検切れ バッテリー要交換,スズキ,2022,0.1,1800,パール,あり,183.1
2009年式 ホンダ N-BOX X 走行13.1万km ETC ドライブレコーダー 衝突被害軽減ブレーキ LEDヘッドライト,ホンダ,2009,13.1,2000,シルバー,あり,20.6
2020年式 ホンダ フィット 4WD 走行3.3万km ワンオーナー 純正ナビ サンルーフ フルセグTV 両側パワースライドドア 鍵1本のみ 内装に汚れ,ホンダ,2020,3.3,2500,シルバー,なし,105.3
2017年式 スバル フォレスター ハイブリッド 走行2.9万km ETC 禁煙車 フルセグTV 本革シート ワンオーナー バッテリー要交換,スバル,2017,2.9,2500,シルバー,なし,174.7
2017年式 スバル インプレッサ G 走行6.2万km 新品タイヤ交換済 ドライブレコーダー ETC フルセグTV サンルーフ,スバル,2017,6.2,2500,黒,なし,106.9
2011年式 日産 セレナ G 走行12.3万km サンルーフ バックカメラ,日産,2011,12.3,1800,黒,なし,52.1
2022年式 スズキ ハスラー 特別仕様車 走行2.3万km LEDヘッドライト,スズキ,2022,2.3,660,青,なし,119.7
2023年式 マツダ デミオ Z 走行0.1万km ETC ワンオーナー 禁煙車 車検切れ 鍵1本のみ バッテリー要交換,マツダ,2023,0.1,1500,黒,あり,122.6
2020年式 ホンダ フィット ターボ 走行1.4万km 本革シート 新品タイヤ交換済,ホンダ,2020,1.4,660,シルバー,あり,120.9
2020年式 日産 リーフ 特別仕様車 走行0.1万km,日産,2020,0.1,0,黒,なし,183.1
2017年式 日産 エクストレイル G 走行7.0万km フルセグTV 内装に汚れ バッテリー要交換,日産,2017,7.0,1800,パール,あり,96.6
2020年式 日産 ノート ハイブリッド 走行6.1万km 修復歴あり,日産,2020,6.1,1500,シルバー,あり,53.1
2010年式 スバル インプレッサ Z 走行11.3万km ワンオーナー,スバル,2010,11.3,1000,白,あり,32.3
2023年式 スズキ スイフト Z 走行4.0万km ナビ地図データ古い,スズキ,2023,4.0,660,黒,あり,108.4
2013年式 ホンダ ヴェゼル S 走行9.3万km LEDヘッドライト,ホンダ,2013,9.3,660,パール,なし,53.8
2020年式 日産 セレナ Z 走行1.9万km ETC 禁煙車 本革シート 新品タイヤ交換済 LEDヘッドライト,日産,2020,1.9,2000,パール,あり,210.1
2023年式 トヨタ カローラ 4WD 走行2.9万km バックカメラ LEDヘッドライト,トヨタ,2023,2.9,1500,シルバー,あり,186.4
2019年式 トヨタ カローラ 4WD 走行2.3万km 両側パワースライドドア,トヨタ,2019,2.3,1000,白,あり,123.2
2014年式 スズキ ジムニー S 走行11.4万km ワンオーナー,スズキ,2014,11.4,1000,シルバー,なし,44.0
2017年式 マツダ CX-5 特別仕様車 走行6.5万km ドライブレコーダー フルセグTV サンルーフ,マツダ,2017,6.5,1000,黒,あり,133.4
2022年式 日産 ノート 4WD 走行0.1万km ETC,日産,2022,0.1,2000,白,なし,161.4
2009年式 トヨタ カローラ G 走行13.5万km ドライブレコーダー 衝突被害軽減ブレーキ 新品タイヤ交換済 バックカメラ エアコン効き弱い 内装に汚れ 小キズ多数,トヨタ,2009,13.5,2000,シルバー,なし,18.8
2018年式 スバル レヴォーグ S 走行6.3万km エアコン効き弱い 小キズ多数,スバル,2018,6.3,1500,黒,あり,94.3
